tick,sim_time,cells_burning,cells_ember,cells_burned,cells_wet,total_fire_cells,drones_emitting,drones_returning,drones_transit,drones_idle,drones_hovering,drones_charging,mean_battery,min_battery,mean_stability
1,0.1,3,0,0,198,3,0,0,3,97,0,0,1.0,1.0,0.8099
2,0.2,3,0,0,199,3,0,0,3,97,0,0,1.0,1.0,0.8112
3,0.3,3,0,0,202,3,0,0,3,97,0,0,1.0,1.0,0.8118
4,0.4,3,0,0,203,3,0,0,3,97,0,0,1.0,1.0,0.8083
5,0.5,3,0,0,203,3,0,0,3,97,0,0,1.0,0.9999,0.8118
6,0.6,3,0,0,203,3,0,0,3,97,0,0,1.0,0.9999,0.8107
7,0.7,3,0,0,204,3,0,0,3,97,0,0,0.9999,0.9999,0.8103
8,0.8,3,0,0,206,3,0,0,3,97,0,0,0.9999,0.9999,0.809
9,0.9,3,0,0,206,3,0,0,3,97,0,0,0.9999,0.9999,0.8127
10,1.0,3,0,0,208,3,0,0,3,97,0,0,0.9999,0.9999,0.8087
11,1.1,3,0,0,209,3,0,0,3,97,0,0,0.9999,0.9999,0.7908
12,1.2,3,0,0,209,3,0,0,3,97,0,0,0.9999,0.9999,0.7949
13,1.3,3,0,0,212,3,0,0,3,97,0,0,0.9999,0.9999,0.7947
14,1.4,3,0,0,214,3,0,0,3,97,0,0,0.9999,0.9998,0.7965
15,1.5,3,0,0,214,3,0,0,3,97,0,0,0.9999,0.9998,0.79
16,1.6,3,0,0,214,3,0,0,3,97,0,0,0.9999,0.9998,0.7901
17,1.7,3,0,0,215,3,0,0,3,97,0,0,0.9999,0.9998,0.7961
18,1.8,3,0,0,215,3,0,0,3,97,0,0,0.9999,0.9998,0.7929
19,1.9,3,0,0,216,3,0,0,3,97,0,0,0.9999,0.9998,0.7893
20,2.0,3,0,0,217,3,0,0,3,97,0,0,0.9999,0.9998,0.7908
21,2.1,3,0,0,217,3,0,0,6,94,0,0,0.9999,0.9998,0.7615
22,2.2,3,0,0,219,3,0,0,6,94,0,0,0.9998,0.9998,0.7645
