tick,sim_time,cells_burning,cells_ember,cells_burned,cells_wet,total_fire_cells,drones_emitting,drones_returning,drones_transit,drones_idle,drones_hovering,drones_charging,mean_battery,min_battery,mean_stability
1,0.1,3,0,0,198,3,0,0,3,47,0,0,1.0,1.0,0.8051
2,0.2,3,0,0,199,3,0,0,3,47,0,0,1.0,1.0,0.8104
3,0.3,3,0,0,202,3,0,0,3,47,0,0,1.0,1.0,0.8101
4,0.4,3,0,0,203,3,0,0,3,47,0,0,1.0,1.0,0.8101
5,0.5,3,0,0,203,3,0,0,3,47,0,0,1.0,0.9999,0.8075
6,0.6,3,0,0,203,3,0,0,3,47,0,0,1.0,0.9999,0.8102
7,0.7,3,0,0,204,3,0,0,3,47,0,0,0.9999,0.9999,0.8113
8,0.8,3,0,0,206,3,0,0,3,47,0,0,0.9999,0.9999,0.8092
9,0.9,3,0,0,206,3,0,0,3,47,0,0,0.9999,0.9999,0.8157
10,1.0,3,0,0,208,3,0,0,3,47,0,0,0.9999,0.9999,0.8087
11,1.1,3,0,0,209,3,0,0,3,47,0,0,0.9999,0.9999,0.7924
12,1.2,3,0,0,209,3,0,0,3,47,0,0,0.9999,0.9999,0.7912
13,1.3,3,0,0,212,3,0,0,3,47,0,0,0.9999,0.9999,0.7936
14,1.4,3,0,0,214,3,0,0,3,47,0,0,0.9999,0.9998,0.8
15,1.5,3,0,0,214,3,0,0,3,47,0,0,0.9999,0.9998,0.7859
16,1.6,3,0,0,214,3,0,0,3,47,0,0,0.9999,0.9998,0.791
17,1.7,3,0,0,215,3,0,0,3,47,0,0,0.9999,0.9998,0.7974
18,1.8,3,0,0,215,3,0,0,3,47,0,0,0.9999,0.9998,0.7957
19,1.9,3,0,0,216,3,0,0,3,47,0,0,0.9999,0.9998,0.7922
20,2.0,3,0,0,217,3,0,0,3,47,0,0,0.9999,0.9998,0.7892
21,2.1,3,0,0,217,3,0,0,6,44,0,0,0.9998,0.9998,0.7626
22,2.2,3,0,0,219,3,0,0,6,44,0,0,0.9998,0.9998,0.7659
23,2.3,3,0,0,221,3,0,0,6,44,0,0,0.9998,0.9998,0.7673
24,2.4,3,0,0,223,3,0,0,6,44,0,0,0.9998,0.9997,0.7677
25,2.5,3,0,0,225,3,0,0,6,44,0,0,0.9998,0.9997,0.7657
26,2.6,3,0,0,227,3,0,0,6,44,0,0,0.9998,0.9997,0.7572
27,2.7,3,0,0,228,3,0,0,6,44,0,0,0.9998,0.9997,0.7603
28,2.8,3,0,0,230,3,0,0,6,44,0,0,0.9998,0.9997,0.7677
29,2.9,3,0,0,230,3,0,0,6,44,0,0,0.9998,0.9997,0.7653
30,3.0,3,0,0,232,3,0,0,6,44,0,0,0.9998,0.9997,0.7669
31,3.1,3,0,0,232,3,0,0,6,44,0,0,0.9998,0.9997,0.7205
32,3.2,3,0,0,234,3,0,0,6,44,0,0,0.9998,0.9997,0.711
33,3.3,3,0,0,236,3,0,0,6,44,0,0,0.9998,0.9997,0.7238
34,3.4,3,0,0,238,3,0,0,6,44,0,0,0.9998,0.9996,0.7196
35,3.5,3,0,0,238,3,0,0,6,44,0,0,0.9997,0.9996,0.7219
36,3.6,3,0,0,240,3,0,0,6,44,0,0,0.9997,0.9996,0.7195
37,3.7,3,0,0,240,3,0,0,6,44,0,0,0.9997,0.9996,0.7208
38,3.8,3,0,0,240,3,0,0,6,44,0,0,0.9997,0.9996,0.7155
39,3.9,3,0,0,240,3,0,0,6,44,0,0,0.9997,0.9996,0.7216
40,4.0,3,0,0,241,3,0,0,6,44,0,0,0.9997,0.9996,0.7191
41,4.1,3,0,0,242,3,0,0,8,42,0,0,0.9997,0.9996,0.6843
42,4.2,3,0,0,244,3,0,0,8,42,0,0,0.9997,0.9996,0.6824
43,4.3,3,0,0,244,3,0,0,8,42,0,0,0.9997,0.9996,0.6869
44,4.4,3,0,0,245,3,0,0,8,42,0,0,0.9997,0.9996,0.6821
45,4.5,3,0,0,245,3,0,0,8,42,0,0,0.9997,0.9995,0.6851
46,4.6,3,0,0,247,3,0,0,8,42,0,0,0.9997,0.9995,0.6798
47,4.7,3,0,0,250,3,0,0,8,42,0,0,0.9997,0.9995,0.6903
48,4.8,3,0,0,252,3,0,0,8,42,0,0,0.9997,0.9995,0.6887
49,4.9,3,0,0,256,3,0,0,8,42,0,0,0.9997,0.9995,0.6883
50,5.0,3,0,0,258,3,0,0,8,42,0,0,0.9996,0.9995,0.6853
51,5.1,3,0,0,259,3,0,0,8,42,0,0,0.9996,0.9995,0.7231
52,5.2,3,0,0,266,3,0,0,8,42,0,0,0.9996,0.9995,0.7154
