tick,sim_time,cells_burning,cells_ember,cells_burned,cells_wet,total_fire_cells,drones_emitting,drones_returning,drones_transit,drones_idle,drones_hovering,drones_charging,mean_battery,min_battery,mean_stability
1,0.1,3,0,0,198,3,0,0,3,147,0,0,1.0,1.0,0.3797
2,0.2,3,0,0,199,3,0,0,3,147,0,0,1.0,1.0,0.3801
3,0.3,3,0,0,202,3,0,0,3,147,0,0,1.0,1.0,0.3783
4,0.4,3,0,0,203,3,0,0,3,147,0,0,1.0,1.0,0.3799
5,0.5,3,0,0,203,3,0,0,3,147,0,0,1.0,1.0,0.3818
6,0.6,3,0,0,203,3,0,0,3,147,0,0,1.0,1.0,0.3755
7,0.7,3,0,0,204,3,0,0,3,147,0,0,0.9999,0.9999,0.3798
8,0.8,3,0,0,206,3,0,0,3,147,0,0,0.9999,0.9999,0.3789
9,0.9,3,0,0,206,3,0,0,3,147,0,0,0.9999,0.9999,0.3781
10,1.0,3,0,0,208,3,0,0,3,147,0,0,0.9999,0.9999,0.3829
11,1.1,3,0,0,209,3,0,0,3,147,0,0,0.9999,0.9999,0.2989
12,1.2,3,0,0,209,3,0,0,3,147,0,0,0.9999,0.9999,0.2913
13,1.3,3,0,0,212,3,0,0,3,147,0,0,0.9999,0.9999,0.2959
14,1.4,3,0,0,214,3,0,0,3,147,0,0,0.9999,0.9999,0.3058
15,1.5,3,0,0,214,3,0,0,3,147,0,0,0.9999,0.9999,0.3012
16,1.6,3,0,0,214,3,0,0,3,147,0,0,0.9999,0.9999,0.3029
17,1.7,3,0,0,215,3,0,0,3,147,0,0,0.9999,0.9999,0.2937
18,1.8,3,0,0,215,3,0,0,3,147,0,0,0.9999,0.9999,0.3013
19,1.9,3,0,0,216,3,0,0,3,147,0,0,0.9999,0.9999,0.304
20,2.0,3,0,0,217,3,0,0,3,147,0,0,0.9999,0.9999,0.2999
21,2.1,3,0,0,217,3,0,0,6,144,0,0,0.9999,0.9998,0.3477
22,2.2,3,0,0,219,3,0,0,6,144,0,0,0.9998,0.9998,0.3495
23,2.3,3,0,0,221,3,0,0,6,144,0,0,0.9998,0.9998,0.3481
24,2.4,3,0,0,223,3,0,0,6,144,0,0,0.9998,0.9998,0.3481
25,2.5,3,0,0,225,3,0,0,6,144,0,0,0.9998,0.9998,0.3442
26,2.6,3,0,0,227,3,0,0,6,144,0,0,0.9998,0.9998,0.3538
27,2.7,3,0,0,228,3,0,0,6,144,0,0,0.9998,0.9998,0.3492
28,2.8,3,0,0,230,3,0,0,6,144,0,0,0.9998,0.9998,0.342
29,2.9,3,0,0,230,3,0,0,6,144,0,0,0.9998,0.9998,0.3436
30,3.0,3,0,0,232,3,0,0,6,144,0,0,0.9998,0.9998,0.3416
31,3.1,3,0,0,232,3,0,0,6,144,0,0,0.9998,0.9998,0.4522
32,3.2,3,0,0,234,3,0,0,6,144,0,0,0.9998,0.9998,0.4564
33,3.3,3,0,0,236,3,0,0,6,144,0,0,0.9998,0.9998,0.4569
34,3.4,3,0,0,238,3,0,0,6,144,0,0,0.9998,0.9998,0.4562
35,3.5,3,0,0,238,3,0,0,6,144,0,0,0.9998,0.9997,0.4537
36,3.6,3,0,0,240,3,0,0,6,144,0,0,0.9998,0.9997,0.4557
37,3.7,3,0,0,240,3,0,0,6,144,0,0,0.9997,0.9997,0.452
38,3.8,3,0,0,240,3,0,0,6,144,0,0,0.9997,0.9997,0.4571
39,3.9,3,0,0,240,3,0,0,6,144,0,0,0.9997,0.9997,0.4542
40,4.0,3,0,0,241,3,0,0,6,144,0,0,0.9997,0.9997,0.4624
41,4.1,3,0,0,242,3,0,0,9,141,0,0,0.9997,0.9997,0.3815
42,4.2,3,0,0,244,3,0,0,9,141,0,0,0.9997,0.9997,0.3831
43,4.3,3,0,0,244,3,0,0,9,141,0,0,0.9997,0.9997,0.3819
44,4.4,3,0,0,245,3,0,0,9,141,0,0,0.9997,0.9997,0.3814
45,4.5,3,0,0,245,3,0,0,9,141,0,0,0.9997,0.9997,0.3796
46,4.6,3,0,0,247,3,0,0,9,141,0,0,0.9997,0.9997,0.3807
47,4.7,3,0,0,250,3,0,0,9,141,0,0,0.9997,0.9997,0.3781
48,4.8,3,0,0,252,3,0,0,9,141,0,0,0.9997,0.9996,0.3809
49,4.9,3,0,0,256,3,0,0,9,141,0,0,0.9997,0.9996,0.3768
50,5.0,3,0,0,258,3,0,0,9,141,0,0,0.9997,0.9996,0.3832
51,5.1,3,0,0,259,3,0,0,9,141,0,0,0.9997,0.9996,0.2351
52,5.2,3,0,0,266,3,0,0,9,141,0,0,0.9996,0.9996,0.2441
53,5.3,3,0,0,267,3,0,0,9,141,0,0,0.9996,0.9996,0.2407
54,5.4,3,0,0,268,3,0,0,9,141,0,0,0.9996,0.9996,0.2361
55,5.5,3,0,0,268,3,0,0,9,141,0,0,0.9996,0.9996,0.2421
56,5.6,3,0,0,268,3,0,0,9,141,0,0,0.9996,0.9996,0.2433
57,5.7,3,0,0,268,3,0,0,9,141,0,0,0.9996,0.9996,0.2394
58,5.8,3,0,0,268,3,0,0,9,141,0,0,0.9996,0.9996,0.2454
59,5.9,3,0,0,269,3,0,0,9,141,0,0,0.9996,0.9996,0.2403
60,6.0,3,0,0,273,3,0,0,9,141,0,0,0.9996,0.9996,0.2389
61,6.1,3,0,0,274,3,0,0,12,138,0,0,0.9996,0.9996,0.1853
62,6.2,3,0,0,275,3,0,0,12,138,0,0,0.9996,0.9996,0.1871
63,6.3,3,0,0,276,3,0,0,12,138,0,0,0.9996,0.9995,0.1776
64,6.4,3,0,0,276,3,0,0,12,138,0,0,0.9996,0.9995,0.1814
65,6.5,3,0,0,277,3,0,0,12,138,0,0,0.9996,0.9995,0.1836
66,6.6,3,0,0,278,3,0,0,12,138,0,0,0.9996,0.9995,0.1855
