tick,sim_time,cells_burning,cells_ember,cells_burned,cells_wet,total_fire_cells,drones_emitting,drones_returning,drones_transit,drones_idle,drones_hovering,drones_charging,mean_battery,min_battery,mean_stability
1,0.1,3,0,0,198,3,0,0,3,97,0,0,1.0,1.0,0.3819
2,0.2,3,0,0,199,3,0,0,3,97,0,0,1.0,1.0,0.3786
3,0.3,3,0,0,202,3,0,0,3,97,0,0,1.0,1.0,0.3759
4,0.4,3,0,0,203,3,0,0,3,97,0,0,1.0,1.0,0.383
5,0.5,3,0,0,203,3,0,0,3,97,0,0,1.0,1.0,0.3796
6,0.6,3,0,0,203,3,0,0,3,97,0,0,1.0,1.0,0.3729
7,0.7,3,0,0,204,3,0,0,3,97,0,0,0.9999,0.9999,0.3797
8,0.8,3,0,0,206,3,0,0,3,97,0,0,0.9999,0.9999,0.3788
9,0.9,3,0,0,206,3,0,0,3,97,0,0,0.9999,0.9999,0.3731
10,1.0,3,0,0,208,3,0,0,3,97,0,0,0.9999,0.9999,0.3832
11,1.1,3,0,0,209,3,0,0,3,97,0,0,0.9999,0.9999,0.2992
12,1.2,3,0,0,209,3,0,0,3,97,0,0,0.9999,0.9999,0.2927
13,1.3,3,0,0,212,3,0,0,3,97,0,0,0.9999,0.9999,0.2958
14,1.4,3,0,0,214,3,0,0,3,97,0,0,0.9999,0.9999,0.3033
15,1.5,3,0,0,214,3,0,0,3,97,0,0,0.9999,0.9999,0.3001
16,1.6,3,0,0,214,3,0,0,3,97,0,0,0.9999,0.9999,0.3061
17,1.7,3,0,0,215,3,0,0,3,97,0,0,0.9999,0.9999,0.2958
18,1.8,3,0,0,215,3,0,0,3,97,0,0,0.9999,0.9999,0.2986
19,1.9,3,0,0,216,3,0,0,3,97,0,0,0.9999,0.9999,0.3101
20,2.0,3,0,0,217,3,0,0,3,97,0,0,0.9999,0.9999,0.3087
21,2.1,3,0,0,217,3,0,0,6,94,0,0,0.9999,0.9998,0.3468
22,2.2,3,0,0,219,3,0,0,6,94,0,0,0.9998,0.9998,0.3483
23,2.3,3,0,0,221,3,0,0,6,94,0,0,0.9998,0.9998,0.3474
24,2.4,3,0,0,223,3,0,0,6,94,0,0,0.9998,0.9998,0.3449
25,2.5,3,0,0,225,3,0,0,6,94,0,0,0.9998,0.9998,0.3431
26,2.6,3,0,0,227,3,0,0,6,94,0,0,0.9998,0.9998,0.356
27,2.7,3,0,0,228,3,0,0,6,94,0,0,0.9998,0.9998,0.3464
28,2.8,3,0,0,230,3,0,0,6,94,0,0,0.9998,0.9998,0.3432
29,2.9,3,0,0,230,3,0,0,6,94,0,0,0.9998,0.9998,0.3435
30,3.0,3,0,0,232,3,0,0,6,94,0,0,0.9998,0.9998,0.3421
31,3.1,3,0,0,232,3,0,0,6,94,0,0,0.9998,0.9998,0.4513
32,3.2,3,0,0,234,3,0,0,6,94,0,0,0.9998,0.9998,0.4576
33,3.3,3,0,0,236,3,0,0,6,94,0,0,0.9998,0.9998,0.4533
34,3.4,3,0,0,238,3,0,0,6,94,0,0,0.9998,0.9998,0.4618
35,3.5,3,0,0,238,3,0,0,6,94,0,0,0.9998,0.9997,0.4532
36,3.6,3,0,0,240,3,0,0,6,94,0,0,0.9998,0.9997,0.4584
37,3.7,3,0,0,240,3,0,0,6,94,0,0,0.9997,0.9997,0.4513
38,3.8,3,0,0,240,3,0,0,6,94,0,0,0.9997,0.9997,0.4552
39,3.9,3,0,0,240,3,0,0,6,94,0,0,0.9997,0.9997,0.4526
40,4.0,3,0,0,241,3,0,0,6,94,0,0,0.9997,0.9997,0.4622
41,4.1,3,0,0,242,3,0,0,9,91,0,0,0.9997,0.9997,0.3835
42,4.2,3,0,0,244,3,0,0,9,91,0,0,0.9997,0.9997,0.3857
43,4.3,3,0,0,244,3,0,0,9,91,0,0,0.9997,0.9997,0.3806
44,4.4,3,0,0,245,3,0,0,9,91,0,0,0.9997,0.9997,0.3818
45,4.5,3,0,0,245,3,0,0,9,91,0,0,0.9997,0.9997,0.3782
46,4.6,3,0,0,247,3,0,0,9,91,0,0,0.9997,0.9997,0.3836
47,4.7,3,0,0,250,3,0,0,9,91,0,0,0.9997,0.9997,0.3743
48,4.8,3,0,0,252,3,0,0,9,91,0,0,0.9997,0.9996,0.3796
49,4.9,3,0,0,256,3,0,0,9,91,0,0,0.9997,0.9996,0.3775
50,5.0,3,0,0,258,3,0,0,9,91,0,0,0.9997,0.9996,0.3833
51,5.1,3,0,0,259,3,0,0,9,91,0,0,0.9997,0.9996,0.2384
52,5.2,3,0,0,266,3,0,0,9,91,0,0,0.9996,0.9996,0.2424
53,5.3,3,0,0,267,3,0,0,9,91,0,0,0.9996,0.9996,0.2408
54,5.4,3,0,0,268,3,0,0,9,91,0,0,0.9996,0.9996,0.2366
55,5.5,3,0,0,268,3,0,0,9,91,0,0,0.9996,0.9996,0.2445
56,5.6,3,0,0,268,3,0,0,9,91,0,0,0.9996,0.9996,0.2424
57,5.7,3,0,0,268,3,0,0,9,91,0,0,0.9996,0.9996,0.2405
58,5.8,3,0,0,268,3,0,0,9,91,0,0,0.9996,0.9996,0.2473
59,5.9,3,0,0,269,3,0,0,9,91,0,0,0.9996,0.9996,0.2419
60,6.0,3,0,0,273,3,0,0,9,91,0,0,0.9996,0.9996,0.2406
61,6.1,3,0,0,274,3,0,0,12,88,0,0,0.9996,0.9996,0.1848
62,6.2,3,0,0,275,3,0,0,12,88,0,0,0.9996,0.9996,0.1882
63,6.3,3,0,0,276,3,0,0,12,88,0,0,0.9996,0.9995,0.1837
64,6.4,3,0,0,276,3,0,0,12,88,0,0,0.9996,0.9995,0.1834
65,6.5,3,0,0,277,3,0,0,12,88,0,0,0.9996,0.9995,0.1815
66,6.6,3,0,0,278,3,0,0,12,88,0,0,0.9996,0.9995,0.1852
67,6.7,3,0,0,278,3,0,0,12,88,0,0,0.9995,0.9995,0.1843
68,6.8,3,0,0,278,3,0,0,12,88,0,0,0.9995,0.9995,0.1789
69,6.9,3,0,0,279,3,0,0,12,88,0,0,0.9995,0.9995,0.1768
70,7.0,3,0,0,280,3,0,0,12,88,0,0,0.9995,0.9995,0.1819
71,7.1,3,0,0,283,3,0,0,12,88,0,0,0.9995,0.9995,0.3258
72,7.2,3,0,0,284,3,0,0,12,88,0,0,0.9995,0.9995,0.3164
73,7.3,3,0,0,284,3,0,0,12,88,0,0,0.9995,0.9995,0.3248
74,7.4,3,0,0,284,3,0,0,12,88,0,0,0.9995,0.9995,0.3286
75,7.5,3,0,0,284,3,0,0,12,88,0,0,0.9995,0.9995,0.3273
76,7.6,3,0,0,286,3,0,0,12,88,0,0,0.9995,0.9995,0.3253
77,7.7,3,0,0,288,3,0,0,12,88,0,0,0.9995,0.9994,0.3253
78,7.8,3,0,0,289,3,0,0,12,88,0,0,0.9995,0.9994,0.325
79,7.9,3,0,0,289,3,0,0,12,88,0,0,0.9995,0.9994,0.325
80,8.0,3,0,0,291,3,0,0,12,88,0,0,0.9995,0.9994,0.3146
81,8.1,3,0,0,294,3,0,0,14,86,0,0,0.9995,0.9994,0.1982
82,8.2,3,0,0,297,3,0,0,14,86,0,0,0.9994,0.9994,0.195
83,8.3,3,0,0,300,3,0,0,14,86,0,0,0.9994,0.9994,0.1946
84,8.4,3,0,0,302,3,0,0,14,86,0,0,0.9994,0.9994,0.1952
85,8.5,4,0,0,303,4,0,0,14,86,0,0,0.9994,0.9994,0.1963
86,8.6,4,0,0,304,4,0,0,14,86,0,0,0.9994,0.9994,0.1965
87,8.7,4,0,0,306,4,0,0,14,86,0,0,0.9994,0.9994,0.2034
88,8.8,4,0,0,306,4,0,0,14,86,0,0,0.9994,0.9994,0.1959
89,8.9,4,0,0,307,4,0,0,14,86,0,0,0.9994,0.9994,0.1962
90,9.0,4,0,0,310,4,0,0,14,86,0,0,0.9994,0.9994,0.1919
91,9.1,4,0,0,311,4,0,1,14,84,0,1,0.9994,0.9994,0.1143
92,9.2,4,0,0,312,4,0,0,14,85,0,1,0.9994,0.9993,0.1198
93,9.3,4,0,0,312,4,0,0,14,86,0,0,0.9994,0.9993,0.1138
94,9.4,4,0,0,313,4,0,0,14,86,0,0,0.9994,0.9993,0.1278
95,9.5,4,0,0,313,4,0,0,14,86,0,0,0.9994,0.9993,0.1243
96,9.6,4,0,0,313,4,0,1,13,85,0,1,0.9994,0.9993,0.118
97,9.7,4,0,0,314,4,0,2,12,86,0,0,0.9994,0.9993,0.1192
98,9.8,4,0,0,315,4,0,2,12,85,0,1,0.9994,0.9993,0.1202
99,9.9,4,0,0,316,4,0,2,12,86,0,0,0.9994,0.9993,0.1163
