tick,sim_time,cells_burning,cells_ember,cells_burned,cells_wet,total_fire_cells,drones_emitting,drones_returning,drones_transit,drones_idle,drones_hovering,drones_charging,mean_battery,min_battery,mean_stability
1,0.1,3,0,0,198,3,0,0,0,0,0,0,0,0,0
2,0.2,3,0,0,199,3,0,0,0,0,0,0,0,0,0
3,0.3,3,0,0,202,3,0,0,0,0,0,0,0,0,0
4,0.4,3,0,0,203,3,0,0,0,0,0,0,0,0,0
5,0.5,3,0,0,203,3,0,0,0,0,0,0,0,0,0
6,0.6,3,0,0,203,3,0,0,0,0,0,0,0,0,0
7,0.7,3,0,0,204,3,0,0,0,0,0,0,0,0,0
8,0.8,3,0,0,206,3,0,0,0,0,0,0,0,0,0
9,0.9,3,0,0,206,3,0,0,0,0,0,0,0,0,0
10,1.0,3,0,0,208,3,0,0,0,0,0,0,0,0,0
11,1.1,3,0,0,209,3,0,0,0,0,0,0,0,0,0
12,1.2,3,0,0,209,3,0,0,0,0,0,0,0,0,0
13,1.3,3,0,0,212,3,0,0,0,0,0,0,0,0,0
14,1.4,3,0,0,214,3,0,0,0,0,0,0,0,0,0
15,1.5,3,0,0,214,3,0,0,0,0,0,0,0,0,0
16,1.6,3,0,0,214,3,0,0,0,0,0,0,0,0,0
17,1.7,3,0,0,215,3,0,0,0,0,0,0,0,0,0
18,1.8,3,0,0,215,3,0,0,0,0,0,0,0,0,0
19,1.9,3,0,0,216,3,0,0,0,0,0,0,0,0,0
20,2.0,3,0,0,217,3,0,0,0,0,0,0,0,0,0
21,2.1,3,0,0,217,3,0,0,0,0,0,0,0,0,0
22,2.2,3,0,0,219,3,0,0,0,0,0,0,0,0,0
23,2.3,3,0,0,221,3,0,0,0,0,0,0,0,0,0
24,2.4,3,0,0,223,3,0,0,0,0,0,0,0,0,0
25,2.5,3,0,0,225,3,0,0,0,0,0,0,0,0,0
26,2.6,3,0,0,227,3,0,0,0,0,0,0,0,0,0
27,2.7,3,0,0,228,3,0,0,0,0,0,0,0,0,0
28,2.8,3,0,0,230,3,0,0,0,0,0,0,0,0,0
29,2.9,3,0,0,230,3,0,0,0,0,0,0,0,0,0
